,Place,Latitude,Longitude
246,Torino,45.0677551,7.6824892
247,Beijing,39.906217,116.3912757
248,Rio de Janeiro,-22.9110137,-43.2093727
249,Athina,37.9839412,23.7283052
250,Squaw Valley,36.705929499999996,-119.20011524652315
251,Innsbruck,47.2654296,11.3927685
252,Sarajevo,43.8519774,18.3866868
253,Mexico City,19.4326296,-99.1331785
254,Munich,48.1371079,11.5753822
255,Seoul,37.5666791,126.9782914
256,Berlin,52.5170365,13.3888599
257,Oslo,59.9133301,10.7389701
258,Cortina d'Ampezzo,46.5383332,12.1373506
259,Melbourne,-37.8142176,144.9631608
260,Roma,41.8933203,12.4829321
261,Amsterdam,52.3727598,4.8936041
262,Montreal,45.5031824,-73.5698065
263,Moskva,55.7504461,37.6174943
264,Tokyo,35.6828387,139.7594549
265,Vancouver,49.2608724,-123.113952
266,Grenoble,45.1875602,5.7357819
267,Sapporo,43.061936,141.3542924
268,Chamonix,37.64665545,-118.99859339271407
269,St. Louis,38.6529545,-90.24111656024635
270,Sankt Moritz,46.4960592,9.8386578
271,Garmisch-Partenkirchen,47.4923741,11.0962815
